East Asia & Pacific	Europe & Central Asia	Latin America & Caribbean	Middle East & North Africa	South Asia	Sub-Saharan Africa	World	Year
54.19215823	1.577982333	14.04354029	5.625238853	44.40073057	55.05908004	35.30188281	1990
47.59526411	2.744024659	12.98774671	6.076027858	44.86961716	59.62779554	33.94126376	1993
36.28663734	3.940989144	13.62567491	5.223019431	40.33531486	58.75181262	29.44295868	1996
34.31298292	4.272213818	13.39585133	3.407777377	0	58.22286043	28.66521022	1999
26.52483575	3.190025384	11.62459062	2.854631519	38.57903852	56.78123111	25.68572279	2002
16.96567871	2.624155753	9.702540702	2.69374714	33.74826043	50.83016686	20.75977642	2005
13.44250769	1.507994956	6.819122785	2.365593547	29.47564192	47.66743906	18.07190849	2008
7.632989195	1.099770553	5.567180377	2.345090106	20.13546252	44.87855001	13.7747707	2011
3.249996133	0.856645288	4.502055948	2.300518377	15.14143575	42.06840206	10.89340939	2013
